Method,Path,TimeStamp,User
POST,/user,2024-08-21T15:46:22-03:00,johndoe
POST,/user,2024-08-21T15:48:18-03:00,johndoe
GET,/user/123e4567-e89b-12d3-a456-42661417400,2024-08-21T15:49:32-03:00,
POST,/user,2024-08-21T15:53:58-03:00,johndoe
GET,/user/123e4567-e89b-12d3-a456-426614174020,2024-08-21T15:54:12-03:00,johndoe
DELETE,/user/123e4567-e89b-12d3-a456-426614174020,2024-08-21T15:54:29-03:00,johndoe
GET,/user/123e4567-e89b-12d3-a456-426614174020,2024-08-21T15:54:46-03:00,johndoe
POST,/user,2024-08-21T15:57:13-03:00,johndoe
GET,/user/123e4567-e89b-12d3-a456-426614174020,2024-08-21T15:57:16-03:00,johndoe
DELETE,/user/123e4567-e89b-12d3-a456-426614174020,2024-08-21T15:57:17-03:00,johndoe
GET,/user/123e4567-e89b-12d3-a456-426614174020,2024-08-21T15:57:18-03:00,johndoe
POST,/user,2024-08-21T16:20:07-03:00,johndoe
GET,/user/123e4567-e89b-12d3-a456-426614174020,2024-08-21T16:20:26-03:00,johndoe
DELETE,/user/123e4567-e89b-12d3-a456-426614174020,2024-08-21T16:21:33-03:00,johndoe
GET,/user/123e4567-e89b-12d3-a456-426614174020,2024-08-21T16:21:47-03:00,johndoe
